Key,English,French (Target)
dashboardview_cleanup_queue,CLEANUP_QUEUE,
dashboardview_start_purge,START PURGE,
dashboardview_nothing_left_to_purge,NOTHING_LEFT_TO_PURGE,
dashboardview_your_gallery_is_clean_for_now,Your gallery is clean. For now.,
dashboardview_settings,SETTINGS,
dashboardview_rescan,RESCAN,
swipesessionview_undo,UNDO,
swipesessionview_back,< BACK,
scanprogressview_purge,PURGE,
scanprogressview_duplicates_found,DUPLICATES_FOUND,
scanprogressview_photos_processed,PHOTOS_PROCESSED,
scanprogressview_scanning,SCANNING...,
reviewsessionview_skip_group,SKIP GROUP,
reviewsessionview_tap_to_mark_for_deletion,TAP TO MARK FOR DELETION,
reviewsessionview_back,< BACK,
homeview_saved,Saved,
homeview_your_library,Your Library,
homeview_on_this_day,On this day,
homeview_photos_waiting,photos waiting,
homeview_tap_the_rescan_button_to_find_photos,Tap the rescan button to find photos.,
homeview_your_library_is_empty,Your library is empty,
homeview_gathering_your_memories,Gathering your memories...,
sessioncompleteview_done,DONE,
sessioncompleteview_obliterated,OBLITERATED.,
sessioncompleteview_session_complete,SESSION_COMPLETE,
sessioncompleteview_purge,PURGE,
sessioncompleteview_review_trash,REVIEW_TRASH,
daydetailoverlay_similar_photos,Similar Photos,
daydetailoverlay_ai_select,AI Select,
daydetailoverlay_close,Close,
purgeapp_not_your_photos_though_those_are_still_a_mess,NOT_YOUR_PHOTOS_THOUGH — THOSE_ARE_STILL_A_MESS,
purgeapp_purge,PURGE,
imagezoomview_pinch_to_zoom_drag_to_pan_rotate_with_two_fingers,Pinch to zoom • Drag to pan • Rotate with two fingers,
purgeapp_something_broke,"SOMETHING
BROKE.",
swipesessionview_photos_count,%lld PHOTOS,
homeview_photos_removed,%lld removed,
homeview_near_dups,%lld near-dups,
homeview_scanning_speed,Scanning %lld photos per second,
homeview_percent_complete,%lld%% complete,
swipecardview_size_mb,%@ MB,
reviewsessionview_photos_count,%lld PHOTOS,
reviewsessionview_selected_info,%lld SELECTED · %@,
reviewsessionview_trash_photos,TRASH %lld PHOTOS,
dashboardview_groups_count,%lld GROUPS,
homeview_fun_names,"sunshine, hero, smart-ass, rockstar, legend, champ, superstar, genius, boss, chief, captain, maestro, hotshot, maverick, tiger, wizard, ninja, guru, star, darling, sweetie, honey, pumpkin, buttercup, cupcake, muffin, peanut, bean, nugget, 🥦, firecracker, sparky, wildcat, troublemaker, rebel, outlaw, bandit, rascal, scamp, sport, pal, mate, amigo, bossman, bosslady, detective, sleuth, purger, cleaner, magician, goblin, gremlin, bat, vampire, sleepwalker, phantom, ghost, owl, zombie, dreamer, 👾, 👽",
homeview_greetings_night,"Insomnia, Up late, Night owl, Still awake",
homeview_greetings_morning,"Good morning, Rise and shine, Morning, Bonjour, Hey, What's up, Top of the morning",
homeview_greetings_afternoon,"Good afternoon, Afternoon, Hey, What's up, Howdy, Hello, Hola, Bonjour",
homeview_greetings_evening,"Good evening, Evening, Hey, What's up, Bonsoir, Hello, Aloha",
homeview_greeting_format,"%@, %@",
homeview_greeting_format_question,"%@, %@?",
daydetailoverlay_select_all,Select All,Tout sélectionner
daydetailoverlay_unselect_all,Unselect All,Tout désélectionner
daydetailoverlay_select_group,Select Group,Sélectionner le groupe
daydetailoverlay_unselect_group,Unselect Group,Désélectionner le groupe
daydetailoverlay_remove,Remove,Supprimer
daydetailoverlay_remove_count,Remove (%lld),Supprimer (%lld)
